L,beta,n,eps_opt,gamma,random_state,Alg
150.0,2,65500,0.1,0.99,1311153677,Ours
150.0,2,65500,0.1,0.99,1311153677,Uniform
150.0,2,66500,0.1,0.99,1311153677,Ours
150.0,2,66500,0.1,0.99,1311153677,Uniform
150.0,2,67500,0.1,0.99,1311153677,Ours
150.0,2,67500,0.1,0.99,1311153677,Uniform
150.0,2,68500,0.1,0.99,1311153677,Ours
150.0,2,68500,0.2,0.99,1311153677,Uniform
150.0,2,69500,0.1,0.99,1311153677,Ours
150.0,2,69500,0.1,0.99,1311153677,Uniform
150.0,2,70500,0.1,0.99,1311153677,Ours
150.0,2,70500,0.1,0.99,1311153677,Uniform
150.0,2,71500,0.1,0.99,1311153677,Ours
150.0,2,71500,0.1,0.99,1311153677,Uniform
150.0,2,72500,0.1,0.99,1311153677,Ours
150.0,2,72500,0.1,0.99,1311153677,Uniform
150.0,2,73500,0.1,0.99,1311153677,Ours
150.0,2,73500,0.1,0.99,1311153677,Uniform
150.0,2,74500,0.1,0.99,1311153677,Ours
150.0,2,74500,0.1,0.99,1311153677,Uniform
150.0,2,75500,0.1,0.99,1311153677,Ours
150.0,2,75500,0.1,0.99,1311153677,Uniform
150.0,2,76500,0.1,0.99,1311153677,Ours
150.0,2,76500,0.1,0.99,1311153677,Uniform
150.0,2,77500,0.1,0.99,1311153677,Ours
150.0,2,77500,0.1,0.99,1311153677,Uniform
150.0,2,78500,0.1,0.99,1311153677,Ours
150.0,2,78500,0.1,0.99,1311153677,Uniform
150.0,2,79500,0.1,0.99,1311153677,Ours
150.0,2,79500,0.1,0.99,1311153677,Uniform
150.0,2,500,0.06,0.99,411781201,Ours
150.0,2,500,0.38,0.99,411781201,Uniform
150.0,2,1500,0.09,0.99,411781201,Ours
150.0,2,1500,0.17,0.99,411781201,Uniform
150.0,2,2500,0.09,0.99,411781201,Ours
150.0,2,2500,0.17,0.99,411781201,Uniform
150.0,2,3500,0.17,0.99,411781201,Ours
150.0,2,3500,0.17,0.99,411781201,Uniform
150.0,2,4500,0.17,0.99,411781201,Ours
150.0,2,4500,0.17,0.99,411781201,Uniform
150.0,2,5500,0.17,0.99,411781201,Ours
150.0,2,5500,0.17,0.99,411781201,Uniform
150.0,2,6500,0.17,0.99,411781201,Ours
150.0,2,6500,0.17,0.99,411781201,Uniform
150.0,2,7500,0.17,0.99,411781201,Ours
150.0,2,7500,0.17,0.99,411781201,Uniform
150.0,2,8500,0.17,0.99,411781201,Ours
150.0,2,8500,0.17,0.99,411781201,Uniform
150.0,2,9500,0.17,0.99,411781201,Ours
150.0,2,9500,0.17,0.99,411781201,Uniform
150.0,2,10500,0.17,0.99,411781201,Ours
150.0,2,10500,0.17,0.99,411781201,Uniform
150.0,2,11500,0.17,0.99,411781201,Ours
150.0,2,11500,0.17,0.99,411781201,Uniform
150.0,2,12500,0.17,0.99,411781201,Ours
150.0,2,12500,0.17,0.99,411781201,Uniform
150.0,2,13500,0.17,0.99,411781201,Ours
150.0,2,13500,0.17,0.99,411781201,Uniform
150.0,2,14500,0.17,0.99,411781201,Ours
150.0,2,14500,0.17,0.99,411781201,Uniform
150.0,2,15500,0.17,0.99,411781201,Ours
150.0,2,15500,0.17,0.99,411781201,Uniform
150.0,2,16500,0.17,0.99,411781201,Ours
150.0,2,16500,0.17,0.99,411781201,Uniform
150.0,2,17500,0.1,0.99,411781201,Ours
150.0,2,17500,0.1,0.99,411781201,Uniform
150.0,2,18500,0.1,0.99,411781201,Ours
150.0,2,18500,0.17,0.99,411781201,Uniform
